"date","SP500"
2012-02-29,1365.68
2012-03-30,1408.47
2012-04-30,1397.91
2012-05-31,1310.33
2012-06-29,1362.16
2012-07-31,1379.32
2012-08-31,1406.58
2012-09-28,1440.67
2012-10-31,1412.16
2012-11-30,1416.18
2012-12-31,1426.19
2013-01-31,1498.11
2013-02-28,1514.68
2013-03-28,1569.19
2013-04-30,1597.57
2013-05-31,1630.74
2013-06-28,1606.28
2013-07-31,1685.73
2013-08-30,1632.97
2013-09-30,1681.55
2013-10-31,1756.54
2013-11-29,1805.81
2013-12-31,1848.36
2014-01-31,1782.59
2014-02-28,1859.45
2014-03-31,1872.34
2014-04-30,1883.95
2014-05-30,1923.57
2014-06-30,1960.23
2014-07-31,1930.67
2014-08-29,2003.37
2014-09-30,1972.29
2014-10-31,2018.05
2014-11-28,2067.56
2014-12-31,2058.9
2015-01-30,1994.99
2015-02-27,2104.5
2015-03-31,2067.89
2015-04-30,2085.51
2015-05-29,2107.39
2015-06-30,2063.11
2015-07-31,2103.84
2015-08-31,1972.18
2015-09-30,1920.03
2015-10-30,2079.36
2015-11-30,2080.41
2015-12-31,2043.94
2016-01-29,1940.24
2016-02-29,1932.23
2016-03-31,2059.74
2016-04-29,2065.3
2016-05-31,2096.96
2016-06-30,2098.86
2016-07-29,2173.6
2016-08-31,2170.95
2016-09-30,2168.27
2016-10-31,2126.15
2016-11-30,2198.81
2016-12-30,2238.83
2017-01-31,2278.87
2017-02-28,2363.64
2017-03-31,2362.72
2017-04-28,2384.2
2017-05-31,2411.8
2017-06-30,2423.41
2017-07-31,2470.3
2017-08-31,2471.65
2017-09-29,2519.36
2017-10-31,2575.26
2017-11-30,2647.58
2017-12-29,2673.61
2018-01-31,2823.81
2018-02-28,2713.83
2018-03-29,2640.87
2018-04-30,2648.05
2018-05-31,2705.27
2018-06-29,2718.37
2018-07-31,2816.29
2018-08-31,2901.52
2018-09-28,2913.98
2018-10-31,2711.74
2018-11-30,2760.17
2018-12-31,2506.85
2019-01-31,2704.1
2019-02-28,2784.49
2019-03-29,2834.4
2019-04-30,2945.83
2019-05-31,2752.06
2019-06-28,2941.76
2019-07-31,2980.38
2019-08-30,2926.46
2019-09-30,2976.74
2019-10-31,3037.56
2019-11-29,3140.98
2019-12-31,3230.78
2020-01-31,3225.52
2020-02-28,2954.22
2020-03-31,2584.59
2020-04-30,2912.43
2020-05-29,3044.31
2020-06-30,3100.29
2020-07-31,3271.12
2020-08-31,3500.31
2020-09-30,3363
2020-10-30,3269.96
2020-11-30,3621.63
2020-12-31,3756.07
2021-01-29,3714.24
2021-02-26,3811.15
2021-03-31,3972.89
2021-04-30,4181.17
2021-05-28,4204.11
2021-06-30,4297.5
2021-07-30,4395.26
2021-08-31,4522.68
2021-09-30,4307.54
2021-10-29,4605.38
2021-11-30,4567
2021-12-31,4766.18
2022-01-31,4515.55
2022-02-18,4348.87
