"earnings","gender","age","region","education","neast","mwest","south","west","college","female"
20.67307663,"male",31,"South",14,0,0,1,0,0,0
24.27884674,"male",50,"South",12,0,0,1,0,0,0
10.14957237,"male",36,"South",12,0,0,1,0,0,0
8.894230843,"female",33,"South",10,0,0,1,0,0,1
6.410256386,"female",56,"South",10,0,0,1,0,0,1
16.66666603,"female",52,"South",12,0,0,1,0,0,1
34.61538315,"male",30,"West",16,0,0,0,1,1,0
11.05769253,"male",41,"South",12,0,0,1,0,0,0
19.23077011,"male",37,"South",13,0,0,1,0,0,0
12.01923084,"female",44,"South",13,0,0,1,0,0,1
10.20408154,"female",47,"South",8,0,0,1,0,0,1
10.09615421,"female",53,"South",11,0,0,1,0,0,1
16.34615326,"male",55,"South",12,0,0,1,0,0,0
45.78754425,"female",59,"Northeast",19,0,0,0,0,1,1
19.23077011,"female",30,"Northeast",16,0,0,0,0,1,1
31.73077011,"male",46,"Northeast",16,0,0,0,0,1,0
16.70040512,"female",46,"Northeast",12,0,0,0,0,0,1
27.88461494,"female",48,"Northeast",16,0,0,0,0,1,1
17.30769157,"male",46,"Northeast",14,0,0,0,0,0,0
10,"female",52,"Northeast",12,0,0,0,0,0,1
22.11538506,"female",36,"Northeast",13,0,0,0,0,0,1
33.65384674,"female",48,"Northeast",12,0,0,0,0,0,1
32.69230652,"male",37,"Northeast",12,0,0,0,0,0,0
35.7142868,"female",41,"Northeast",18,0,0,0,0,1,1
11.53846169,"female",56,"Northeast",12,0,0,0,0,0,1
24.03846169,"female",41,"Northeast",13,0,0,0,0,0,1
12.59615421,"male",53,"Northeast",14,0,0,0,0,0,0
16.92307663,"female",49,"Northeast",16,0,0,0,0,1,1
21.63461494,"male",45,"Northeast",13,0,0,0,0,0,0
19.23077011,"male",36,"Northeast",12,0,0,0,0,0,0
3.605769157,"female",23,"Northeast",13,0,0,0,0,0,1
33.65384674,"male",46,"Northeast",18,0,0,0,0,1,0
30.28846169,"male",41,"Northeast",16,0,0,0,0,1,0
10.81730747,"male",23,"Northeast",12,0,0,0,0,0,0
24.03846169,"male",23,"Northeast",12,0,0,0,0,0,0
29.80769157,"male",46,"South",12,0,0,1,0,0,0
10.8805666,"female",56,"South",13,0,0,1,0,0,1
26.44230843,"male",58,"South",12,0,0,1,0,0,0
30.21977997,"female",45,"South",12,0,0,1,0,0,1
4.39560461,"female",21,"South",13,0,0,1,0,0,1
15.68825912,"female",43,"South",14,0,0,1,0,0,1
24.29149818,"female",54,"South",12,0,0,1,0,0,1
25,"male",38,"South",13,0,0,1,0,0,0
50.48077011,"male",42,"South",16,0,0,1,0,1,0
17.30769157,"female",41,"South",18,0,0,1,0,1,1
47.59615326,"male",40,"South",20,0,0,1,0,1,0
14.42307663,"female",41,"South",16,0,0,1,0,1,1
13.73626328,"female",30,"Midwest",12,0,1,0,0,0,1
14.42307663,"female",61,"South",13,0,0,1,0,0,1
14.42307663,"male",45,"South",12,0,0,1,0,0,0
30.28846169,"male",44,"South",12,0,0,1,0,0,0
19.23077011,"female",55,"South",16,0,0,1,0,1,1
16.82692337,"female",62,"South",18,0,0,1,0,1,1
15.38461494,"female",48,"South",12,0,0,1,0,0,1
2.884615421,"male",62,"South",14,0,0,1,0,0,0
13.94230747,"female",30,"South",13,0,0,1,0,0,1
32.21154022,"female",61,"South",12,0,0,1,0,0,1
12.30769253,"male",23,"Midwest",16,0,1,0,0,1,0
19.23077011,"male",25,"Northeast",16,0,0,0,0,1,0
28.22115326,"male",24,"Northeast",16,0,0,0,0,1,0
45.67307663,"male",42,"South",18,0,0,1,0,1,0
16.82692337,"female",28,"South",18,0,0,1,0,1,1
38.46154022,"female",32,"South",16,0,0,1,0,1,1
29.9145298,"female",41,"South",19,0,0,1,0,1,1
33.65384674,"male",33,"South",16,0,0,1,0,1,0
33.21678162,"male",42,"South",16,0,0,1,0,1,0
34.61538315,"male",32,"Northeast",19,0,0,0,0,1,0
49.03845978,"female",42,"South",20,0,0,1,0,1,1
45.38461685,"male",40,"South",20,0,0,1,0,1,0
34.13461685,"female",63,"South",16,0,0,1,0,1,1
14.42307663,"male",50,"South",12,0,0,1,0,0,0
