"wage","gender","age","ageclass","ageclass2","emptype","hours","macroarea","region","citizenship","education"
1120,"Female",49,"45-49","45-54","Female",40,"center","Marche","italian","college or more"
1410,"Female",63,"60-64","55-64","Female",36,"center","Umbria","italian","high school"
1200,"Male",22,"20-24","15-24","Male",40,"nord","Lombardia","non-ue","high school"
850,"Female",66,"65-69","65-74","Female",20,"south","Basilicata","italian","high school"
2030,"Male",53,"50-54","45-54","Male",40,"south","Puglia","italian","middle school"
1240,"Male",63,"60-64","55-64","Male",42,"center","Lazio","italian","middle school"
570,"Female",45,"45-49","45-54","Female",20,"south","Sicilia","italian","high school"
1750,"Male",58,"55-59","55-64","Male",50,"nord","Trentino alto Adige","italian","high school"
1100,"Female",30,"30-34","25-34","Female",35,"nord","Piemonte","italian","college or more"
2300,"Female",50,"50-54","45-54","Female",40,"nord","Valle d'Aosta","italian","college or more"
250,"Female",60,"60-64","55-64","Female",15,"nord","Trentino alto Adige","italian","middle school"
2400,"Male",56,"55-59","55-64","Male",36,"nord","Lombardia","italian","high school"
750,"Female",56,"55-59","55-64","Female",20,"nord","Trentino alto Adige","italian","middle school"
1500,"Male",43,"40-44","35-44","Male",40,"nord","Emilia Romagna","italian","college or more"
1790,"Male",50,"50-54","45-54","Male",38,"nord","Piemonte","italian","high school"
550,"Male",19,"15-19","15-24","Male",21,"nord","Liguria","italian","middle school"
2200,"Male",40,"40-44","35-44","Male",40,"nord","Emilia Romagna","italian","college or more"
1300,"Male",34,"30-34","25-34","Male",40,"center","Umbria","italian","middle school"
1800,"Male",39,"35-39","35-44","Male",40,"nord","Emilia Romagna","italian","high school"
750,"Female",43,"40-44","35-44","Female",36,"south","Campania","italian","high school"
1250,"Male",24,"20-24","15-24","Male",40,"center","Umbria","ue","high school"
1110,"Female",30,"30-34","25-34","Female",25,"nord","Lombardia","italian","high school"
1500,"Female",48,"45-49","45-54","Female",25,"south","Abruzzo","italian","high school"
1600,"Female",40,"40-44","35-44","Female",40,"south","Basilicata","italian","college or more"
1100,"Male",27,"25-29","25-34","Male",40,"nord","Piemonte","italian","high school"
1540,"Male",45,"45-49","45-54","Male",40,"south","Sardegna","italian","middle school"
1680,"Male",49,"45-49","45-54","Male",40,"south","Basilicata","italian","middle school"
1880,"Male",54,"50-54","45-54","Male",40,"nord","Friuli Venezia Giulia","italian","professional high school"
1820,"Male",59,"55-59","55-64","Male",36,"south","Molise","italian","middle school"
1650,"Male",41,"40-44","35-44","Male",40,"nord","Veneto","italian","high school"
1340,"Male",50,"50-54","45-54","Male",40,"south","Puglia","italian","middle school"
1240,"Male",30,"30-34","25-34","Male",40,"nord","Trentino alto Adige","non-ue","middle school"
3000,"Male",67,"65-69","65-74","Male",40,"nord","Liguria","italian","college or more"
1900,"Male",46,"45-49","45-54","Male",40,"nord","Veneto","italian","high school"
1020,"Female",51,"50-54","45-54","Female",50,"center","Toscana","ue","middle school"
900,"Male",41,"40-44","35-44","Male",40,"south","Molise","non-ue","middle school"
2400,"Male",49,"45-49","45-54","Male",38,"south","Campania","italian","high school"
2680,"Female",42,"40-44","35-44","Female",38,"nord","Lombardia","italian","high school"
1200,"Female",37,"35-39","35-44","Female",40,"south","Campania","italian","high school"
1600,"Male",41,"40-44","35-44","Male",40,"south","Sicilia","italian","middle school"
1200,"Female",49,"45-49","45-54","Female",40,"south","Sicilia","italian","middle school"
1350,"Male",66,"65-69","65-74","Male",36,"south","Sardegna","italian","middle school"
1400,"Female",46,"45-49","45-54","Female",40,"nord","Piemonte","ue","middle school"
1400,"Female",57,"55-59","55-64","Female",36,"nord","Veneto","italian","professional high school"
