"healthy","age","anylim","male","insured","deg_nd","deg_ged","deg_hs","deg_ba","deg_ma","deg_phd","deg_oth","married","selfemp","familysz","reg_ne","reg_mw","reg_so","reg_we","race_bl","race_ot","race_wht","agebar"
1,59,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,19
1,24,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,-16
1,21,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,1,0,0,-19
1,58,0,1,1,0,0,1,0,0,0,0,1,0,3,0,0,1,0,0,0,1,18
1,29,0,0,1,0,0,0,1,0,0,0,1,0,3,0,1,0,0,0,0,1,-11
1,39,0,1,0,0,0,0,0,0,1,0,1,1,3,0,0,0,1,0,0,1,-1
1,20,0,0,1,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,0,1,-20
1,24,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,-16
1,44,0,0,1,0,0,0,1,0,0,0,1,0,6,0,1,0,0,0,0,1,4
1,39,0,0,1,0,0,0,0,0,0,1,1,1,3,0,1,0,0,0,0,1,-1
1,43,1,1,1,0,0,0,0,0,1,0,1,1,4,0,1,0,0,0,0,1,3
1,50,1,1,1,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,1,10
1,38,1,1,0,1,0,0,0,0,0,0,1,0,7,0,0,0,1,0,0,1,-2
1,44,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,4
1,23,0,1,1,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,1,-17
1,48,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,1,8
1,30,0,0,1,0,0,1,0,0,0,0,1,1,5,0,1,0,0,0,0,1,-10
1,51,0,1,1,0,0,0,0,0,0,1,1,0,3,0,1,0,0,0,0,1,11
1,47,0,1,1,0,0,0,1,0,0,0,1,0,3,0,0,0,1,0,0,1,7
1,27,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,-13
1,40,0,1,0,1,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,1,0
1,50,1,1,1,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,1,10
1,30,0,1,1,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,1,-10
1,43,0,1,1,0,0,0,1,0,0,0,1,0,4,0,0,1,0,0,0,1,3
1,33,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,1,1,0,0,-7
1,26,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,-14
1,53,0,0,1,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,1,13
1,21,0,1,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,1,-19
1,33,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,-7
1,35,0,0,1,0,1,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,-5
1,21,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,1,-19
1,31,0,0,1,0,0,0,1,0,0,0,1,0,4,0,0,1,0,0,0,1,-9
1,38,0,0,1,0,0,0,0,0,0,1,1,0,4,0,0,0,1,0,0,1,-2
1,38,0,1,1,0,0,1,0,0,0,0,1,0,4,0,1,0,0,0,0,1,-2
1,40,0,1,1,0,0,0,0,1,0,0,1,0,4,1,0,0,0,0,0,1,0
1,37,0,1,1,0,0,0,0,0,0,1,1,0,4,0,0,0,1,0,1,0,-3
1,58,1,1,1,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,1,18
1,55,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,15
1,19,0,0,1,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,1,-21
1,20,0,1,0,0,0,1,0,0,0,0,1,0,3,0,1,0,0,0,0,1,-20
